sep=;
Domain;My position;Strategy Parameters;Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
;;;0.033;7;;40rounds;Yes;No;2;0.30645;0.87485;0.02919;0.31552;1.18129;TimeDependentAgentLinear@0;RandomBOAagent@1;0.8748450636077819;0.3064451997836503;0.8748450636077819;0.3064451997836503;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.044;17;;40rounds;Yes;No;2;0.41781;0.69504;0.08451;0.30905;1.11284;RandomBOAagent@2;TimeDependentAgentLinear@3;0.4178064080812849;0.6950375673686524;0.4178064080812849;0.6950375673686524;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.022;12;;40rounds;Yes;No;2;0.45190;0.77057;0.01571;0.13680;1.22248;TimeDependentAgentLinear@4;RandomBOAagent@5;0.7705714291552388;0.45190360328888535;0.7705714291552388;0.45190360328888535;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.020;11;;40rounds;Yes;No;2;0.34113;0.81702;0.04809;0.43620;1.15814;RandomBOAagent@6;TimeDependentAgentLinear@7;0.34112570397980946;0.8170175848745622;0.34112570397980946;0.8170175848745622;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.023;14;;40rounds;Yes;No;2;0.37907;0.72889;0.09318;0.19223;1.10795;TimeDependentAgentLinear@8;RandomBOAagent@9;0.7288860734789966;0.3790653022284114;0.7288860734789966;0.3790653022284114;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.028;15;;40rounds;Yes;No;2;0.46047;0.73570;0.02659;0.29179;1.19617;RandomBOAagent@10;TimeDependentAgentLinear@11;0.4604724921615946;0.7356994925442334;0.4604724921615946;0.7356994925442334;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.018;10;;40rounds;Yes;No;2;0.40770;0.81235;0.01730;0.19664;1.22005;TimeDependentAgentLinear@12;RandomBOAagent@13;0.812346478802759;0.40770259319263075;0.812346478802759;0.40770259319263075;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.030;14;;40rounds;Yes;No;2;0.40498;0.75603;0.05280;0.34928;1.16101;RandomBOAagent@14;TimeDependentAgentLinear@15;0.4049827372058593;0.75603039616863;0.4049827372058593;0.75603039616863;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.029;13;;40rounds;Yes;No;2;0.41464;0.74969;0.05577;0.16226;1.16433;TimeDependentAgentLinear@16;RandomBOAagent@17;0.7496884770092822;0.4146388411391949;0.7496884770092822;0.4146388411391949;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.013;9;;40rounds;Yes;No;2;0.31788;0.85766;0.03054;0.47886;1.17554;RandomBOAagent@18;TimeDependentAgentLinear@19;0.3178778489042851;0.8576631530756655;0.3178778489042851;0.8576631530756655;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.031;14;;40rounds;Yes;No;2;0.37907;0.72889;0.09318;0.19223;1.10795;TimeDependentAgentLinear@20;RandomBOAagent@21;0.7288860734789966;0.3790653022284114;0.7288860734789966;0.3790653022284114;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.021;12;;40rounds;Yes;No;2;0.36433;0.79671;0.05531;0.40559;1.16104;RandomBOAagent@22;TimeDependentAgentLinear@23;0.36432999517021875;0.796714950962922;0.36432999517021875;0.796714950962922;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.034;19;;40rounds;Yes;No;2;0.54332;0.62461;0.04549;0.07973;1.16793;TimeDependentAgentLinear@24;RandomBOAagent@25;0.6246054096949147;0.543321693351249;0.6246054096949147;0.543321693351249;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.016;10;;40rounds;Yes;No;2;0.30990;0.84813;0.04211;0.47964;1.15803;RandomBOAagent@26;TimeDependentAgentLinear@27;0.30990172195975446;0.8481252780945666;0.30990172195975446;0.8481252780945666;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.016;12;;40rounds;Yes;No;2;0.45190;0.77057;0.01571;0.13680;1.22248;TimeDependentAgentLinear@28;RandomBOAagent@29;0.7705714291552388;0.45190360328888535;0.7705714291552388;0.45190360328888535;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.016;12;;40rounds;Yes;No;2;0.36433;0.79671;0.05531;0.40559;1.16104;RandomBOAagent@30;TimeDependentAgentLinear@31;0.36432999517021875;0.796714950962922;0.36432999517021875;0.796714950962922;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.011;7;;40rounds;Yes;No;2;0.30645;0.87485;0.02919;0.31552;1.18129;TimeDependentAgentLinear@32;RandomBOAagent@33;0.8748450636077819;0.3064451997836503;0.8748450636077819;0.3064451997836503;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
;;;0.029;19;;40rounds;Yes;No;2;0.50286;0.67166;0.03877;0.22225;1.17452;RandomBOAagent@34;TimeDependentAgentLinear@35;0.502860820958382;0.6716554662071815;0.502860820958382;0.6716554662071815;0.0;0.0;JaspAronLargeDiscreteDomain_util3.xml;JaspAronLargeDiscreteDomain_util4.xml
